Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,0.000917652541103894,-0.000146121923184059,-0.0577622430189064,0,0,0,2.37855053572586,0.0071802975316536,-0.000301190306577108,3.91638604852906E-05,0.00806779662148893,-6.77164774253837E-05,0.00820806038355872,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/pelvis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/pelvis.STL,,腰部固定件-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_roll_l_link,0.00113777076289555,0.0571801158071177,-0.0364957492455956,0,0,0,1.24156499318068,0.00170583106629996,0.000288802174691153,-0.000228761105279083,0.0058870865532038,0.000396693691813801,0.00591217929380879,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_roll_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_roll_l_link.STL,,髋Roll转动组件-L-1,hip_roll_left_coordinate,hip_roll_left_axis,hip_roll_l_joint,revolute,0,0.028,-0.0857,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
hip_pitch_l_link,0.00404317144187731,0.00966802299030484,-0.0407867266984017,0,0,0,1.22754652123462,0.0044795785884012,4.27318433324321E-05,0.000106759131638518,0.00718700814879826,-0.000516917676641045,0.00445983601051529,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_pitch_l_link.STL,,髋pitch转动组件-L-3,hip_pitch_left_coordinate,hip_pitch_left_axis,hip_pitch_l_joint,revolute,0,0.122,-0.046,0,0,0,hip_roll_l_link,0,1,0,0,0,0,0,,,,,,,,
hip_yaw_l_link,0.0115806670466449,0.00457493180343799,-0.150826395228814,0,0,0,2.64603213345802,0.0154693537795826,-8.99458659726571E-05,-0.000402223044039022,0.0193413316880014,-0.000250139152687646,0.00549021806192565,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_yaw_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_yaw_l_link.STL,,髋yaw转动组件-L-1,hip_yaw_left_coordinate,hip_yaw_left_axis,hip_yaw_l_joint,revolute,0,0,-0.0987,0,0,0,hip_pitch_l_link,0,0,1,0,0,0,0,,,,,,,,
knee_pitch_l_link,0.0111407508020232,0.00234728609940815,-0.152142028329351,0,0,0,1.68494014006682,0.0259797762912948,-1.40934342462379E-05,-0.00117330934085928,0.0265441849163628,-0.000442587000514392,0.0012245971224362,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/knee_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/knee_pitch_l_link.STL,,小腿组件-L-1,knee_pitch_left_coordinate,knee_pitch_left_axis,knee_pitch_l_joint,revolute,0,-4.2833E-05,-0.3013,0,0,0,hip_yaw_l_link,0,1,0,0,0,0,0,,,,,,,,
ankle_pitch_l_link,1.23076545482746E-09,5.88533416445713E-10,-3.14193115968919E-14,0,0,0,0.111608822288322,7.91093390231637E-06,9.12795578499149E-18,-8.5550749402341E-12,7.91093390230623E-06,2.59346326737996E-11,1.20892451422291E-05,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/ankle_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/ankle_pitch_l_link.STL,,踝十字轴组件-1,ankle_pitch&roll_left_coordinate,ankle_pitch_left_axis,ankle_pitch_l_joint,revolute,0,0,-0.4,0,0,0,knee_pitch_l_link,0,1,0,0,0,0,0,,,,,,,,
ankle_roll_l_link,0.0223316867743761,-4.62707223369829E-08,-0.0336643075528573,0,0,0,1.00310438470634,0.000715880140519066,4.59557401077979E-08,0.000213614730714496,0.00473367229945132,4.78117170569023E-10,0.00517851385519361,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/ankle_roll_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/ankle_roll_l_link.STL,,足部组件-7,ankle_pitch&roll_left_coordinate,ankle_roll_left_axis,ankle_roll_l_joint,revolute,0,0,0,0,0,0,ankle_pitch_l_link,1,0,0,0,0,0,0,,,,,,,,
hip_roll_r_link,-0.00114081299112469,-0.0571801142542005,-0.0364905011148836,0,0,0,1.24156527199977,0.00170583116106398,0.000288801995910863,0.00022877236669645,0.00588708805585439,-0.000396693763001468,0.00591218078645827,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_roll_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_roll_r_link.STL,,髋Roll转动组件-R-2,hip_roll_right_coordinate,hip_roll_right_axis,hip_roll_r_joint,revolute,0,-0.028,-0.0857,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
hip_pitch_r_link,0.0041385099765617,-0.00913620757538691,-0.0402685436922744,0,0,0,1.19812175054949,0.00446774370961667,-4.30726973430862E-05,0.000107194235740438,0.00717295296497103,0.000514787885785301,0.00444562619797288,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_pitch_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_pitch_r_link.STL,,髋pitch转动组件-R-2,hip_pitch_right_coordinate,hip_pitch_right_axis,hip_pitch_r_joint,revolute,0,-0.1218,-0.046,0,0,0,hip_roll_r_link,0,1,0,0,0,0,0,,,,,,,,
hip_yaw_r_link,0.0122591259475457,-0.000133920971525758,-0.133443340045016,0,0,0,1.96299787556592,0.0144039762309664,9.13520439217382E-05,-0.000402152915654789,0.0182377390363309,0.000123498307847338,0.00536735151698836,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_yaw_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2.0_EVT_V2_urdf/meshes/hip_yaw_r_link.STL,,髋yaw转动组件-R-1,hip_yaw_right_coordinate,hip_yaw_right_axis,hip_yaw_r_joint,revolute,0,0,-0.0987,0,0,0,hip_pitch_r_link,0,0,1,0,0,0,0,,,,,,,,
